iter	TotalF1	MultiClass
234	0.8113178525	0.4138417895
235	0.8114536406	0.413713122
236	0.8116623908	0.413412904
237	0.8118883697	0.4130920842
238	0.8119657789	0.4129697773
239	0.8120006768	0.4127714148
240	0.8122137759	0.412454531
241	0.8122398895	0.4123718575
242	0.8122735999	0.4122883058
243	0.8123539953	0.4120317868
244	0.8124667215	0.4117796703
245	0.8124288369	0.4116755497
246	0.8125440644	0.411484994
247	0.8125194317	0.4113338975
248	0.8125696984	0.4111911428
249	0.8128052321	0.4109105939
250	0.8129356457	0.4106354239
251	0.8131190798	0.4104301403
252	0.8131118352	0.4103215688
253	0.8132274644	0.4101621808
254	0.8132484713	0.4100160989
255	0.8132975157	0.4099080553
256	0.813370397	0.4097103278
257	0.8134070795	0.4095971712
258	0.8135265481	0.4094405355
259	0.813538712	0.4093833358
260	0.8136535681	0.4091567351
261	0.8138450144	0.408956859
262	0.8138553525	0.4088700204
263	0.8139092055	0.4087914058
264	0.8139360424	0.4086031925
265	0.8139563666	0.4084820665
266	0.8139382729	0.4084144611
267	0.8140373123	0.4082261992
268	0.8140170377	0.4081116793
269	0.8141140876	0.4080538493
270	0.8141471877	0.4078796184
271	0.8141260197	0.4078103553
272	0.8141684747	0.4077486734
273	0.8141177333	0.4076146296
274	0.8142168152	0.4074466593
275	0.8143870021	0.4072361355
276	0.8144708693	0.40707939
277	0.8146371503	0.4069426003
278	0.8147250856	0.4067773201
279	0.8148280854	0.4065194066
280	0.8148701637	0.4064014741
281	0.8149296793	0.4063431791
282	0.8149357307	0.406263997
283	0.8150191683	0.4061676736
284	0.8150448689	0.4060537296
285	0.8150932742	0.4058963086
286	0.8151429158	0.4057800175
287	0.815165067	0.4056836235
288	0.8152928785	0.4054763013
289	0.815292184	0.4053863804
290	0.8154533198	0.4051933832
291	0.8156160393	0.4050015686
292	0.8155981965	0.4048263165
293	0.8156287273	0.4047441284
294	0.8157327795	0.4045584986
295	0.8158070513	0.4044889319
296	0.8158202566	0.4043706634
297	0.8159114619	0.4042640746
298	0.8159148697	0.4041974709
299	0.8159247334	0.4041398171
